business_segment,sellers,total_revenue,avg_ltv,median_ltv,avg_orders,avg_review
watches,3,117278.87,39092.956666666665,3464.9,193.33333333333334,3.04502516453736
small_appliances,7,47674.87,6810.6957142857145,696.6,9.714285714285714,4.610717269363886
home_appliances,5,26241.170000000002,5248.234,781.9,27.0,4.035034377387318
home_office_furniture,3,9900.56,3300.1866666666665,2153.9,24.333333333333332,3.4730158730158736
baby,6,16320.96,2720.16,720.08,6.833333333333333,4.416666666666667
pet,17,40498.83,2382.284117647059,858.0,14.529411764705882,4.347311325462586
health_beauty,45,90835.82,2018.5737777777779,405.0,15.666666666666666,4.505514002450373
books,4,7054.7699999999995,1763.6924999999999,434.79499999999996,26.0,4.339856711915536
audio_video_electronics,31,50265.34,1621.462580645161,586.57,8.03225806451613,4.0392929975104614
bed_bath_table,10,15448.53,1544.853,698.55,16.6,4.128525641025641
music_instruments,4,5839.64,1459.91,1374.27,6.0,4.227777777777778
food_supplement,8,10618.949999999999,1327.3687499999999,810.95,10.75,4.277984204697791
air_conditioning,2,2650.0,1325.0,1325.0,2.0,5.0
fashion_accessories,6,7831.08,1305.18,227.89,9.5,4.4564814814814815
household_utilities,44,51568.76,1172.0172727272727,592.635,11.409090909090908,4.431985050324807
sports_leisure,14,16321.52,1165.8228571428572,404.25,11.928571428571429,4.586111567725085
stationery,7,8131.360000000001,1161.6228571428571,341.98,8.0,4.306868131868131
construction_tools_house_garden,32,34538.74,1079.335625,532.865,8.46875,4.296086985930736
bags_backpacks,14,14233.7,1016.6928571428572,585.21,9.642857142857142,4.613595509149048
car_accessories,30,30174.98,1005.8326666666667,502.95,4.933333333333334,3.9530360734037204
home_decor,44,44102.22,1002.3231818181819,573.3,8.204545454545455,4.093067844012764
computers,12,11772.29,981.0241666666667,315.25,8.833333333333334,4.431852346999405
phone_mobile,5,4823.29,964.658,768.0,10.6,3.253921568627451
games_consoles,1,896.0,896.0,896.0,3.0,3.75
toys,10,5596.76,559.676,648.05,11.5,4.036274083731711
food_drink,9,3921.83,435.75888888888886,145.9,4.555555555555555,4.43042328042328
party,1,388.98,388.98,388.98,3.0,4.333333333333333
gifts,3,1045.76,348.58666666666664,399.0,2.6666666666666665,4.111111111111111
handcrafted,3,875.9,291.96666666666664,281.4,3.3333333333333335,5.0
