origin,total_leads,converted,activated,repeat_sellers,total_revenue,avg_days_convert,cvr,activation_rate,repeat_rate,revenue_per_lead
unknown,1159,193,85,57,214985.3,-65.3170731707317,16.7,44.0,67.1,185.49
paid_search,1586,195,101,63,155277.05,-43.03947368421053,12.3,51.8,62.4,97.9
organic_search,2296,271,113,77,207023.45,-48.77235772357724,11.8,41.7,68.1,90.17
direct_traffic,499,56,31,22,21903.9,-110.52,11.2,55.4,71.0,43.9
referral,284,24,9,6,17887.15,3.375,8.5,37.5,66.7,62.98
social,1350,75,31,21,43477.99,-43.526315789473685,5.6,41.3,67.7,32.21
display,118,6,2,1,923.0,86.75,5.1,33.3,50.0,7.82
other_publicities,65,3,0,0,0.0,-135.0,4.6,0.0,,0.0
email,493,15,6,3,8484.99,89.25,3.0,40.0,50.0,17.21
other,150,4,2,2,6888.650000000001,42.0,2.7,50.0,100.0,45.92
