origin,landing_page_id,leads,conversions,revenue,cvr,revenue_per_lead
direct_traffic,ce1a65abd0973638f1c887a6efcfa82d,46,11,4826.110000000001,23.9,104.92
direct_traffic,22c29808c4f815213303f8933030604c,105,18,4766.22,17.1,45.39
direct_traffic,b76ef37428e6799c421989521c0e5077,25,4,89.0,16.0,3.56
direct_traffic,7fa6214d82e911d070f51ef79381b956,22,3,704.96,13.6,32.04
direct_traffic,e492ee5eaf1697716985cc6f33f9cd9b,22,1,0.0,4.5,0.0
direct_traffic,f017be4dbf86243af5c1ebed0cff36a2,20,0,0.0,0.0,0.0
display,a7982125ff7aa3b2054c6e44f9d28522,27,2,0.0,7.4,0.0
email,e42a14209c69c3e9cc6b042620465f12,22,1,0.0,4.5,0.0
email,e492ee5eaf1697716985cc6f33f9cd9b,35,1,0.0,2.9,0.0
organic_search,30077c17f2ec5010a82e37ad8925b95f,21,5,1112.6,23.8,52.98
organic_search,22c29808c4f815213303f8933030604c,495,112,113394.23,22.6,229.08
organic_search,40dec9f3d5259a3d2dbcdab2114fae47,57,12,15186.87,21.1,266.44
organic_search,7fa6214d82e911d070f51ef79381b956,29,6,139.8,20.7,4.82
organic_search,b76ef37428e6799c421989521c0e5077,116,24,10404.25,20.7,89.69
organic_search,a7982125ff7aa3b2054c6e44f9d28522,91,15,9028.560000000001,16.5,99.21
organic_search,b48ec5f3b04e9068441002a19df93c6c,38,6,858.0,15.8,22.58
organic_search,ce1a65abd0973638f1c887a6efcfa82d,232,34,17447.6,14.7,75.21
organic_search,0218f6be0b76aca72ab4d00ee9e8cf10,20,2,0.0,10.0,0.0
organic_search,f98c2bd96ac4a5d9476734e790c91384,22,2,0.0,9.1,0.0
organic_search,73f31a40697cc90a86c1273563ac230e,24,2,1188.8000000000002,8.3,49.53
organic_search,f017be4dbf86243af5c1ebed0cff36a2,197,13,6511.669999999999,6.6,33.05
organic_search,e492ee5eaf1697716985cc6f33f9cd9b,109,4,55.0,3.7,0.5
organic_search,15cf89bab2c3163b4f9d8601d108f8b2,29,1,0.0,3.4,0.0
organic_search,1722481ac9e5371e5099dea226b5421d,36,1,0.0,2.8,0.0
organic_search,330b9d44078a1ae5a221d655dcb77afa,23,0,0.0,0.0,0.0
organic_search,65d9f9d71e562365e8b44037c2888d98,23,0,0.0,0.0,0.0
organic_search,ef0b482996664cc1107b9051efd3ca84,23,0,0.0,0.0,0.0
other,73f31a40697cc90a86c1273563ac230e,64,2,6888.650000000001,3.1,107.64
paid_search,fbc24da54d531c6204ae2d17b1090bb1,21,5,1091.6599999999999,23.8,51.98
paid_search,40dec9f3d5259a3d2dbcdab2114fae47,241,50,32299.73,20.7,134.02
paid_search,ce1a65abd0973638f1c887a6efcfa82d,51,10,3771.09,19.6,73.94
paid_search,22c29808c4f815213303f8933030604c,124,20,46367.79,16.1,373.93
paid_search,b6885f18d203a61176418c1fb3764815,48,7,1915.39,14.6,39.9
paid_search,1ceb590cd1e00c7ee95220971f82693d,52,7,7837.79,13.5,150.73
paid_search,241f79c7a8fe0270f4fb79fcbbcd17ad,90,12,9734.189999999999,13.3,108.16
paid_search,35c9b150ab36fe584c1f24fd458c453a,47,6,1353.56,12.8,28.8
paid_search,e492ee5eaf1697716985cc6f33f9cd9b,40,4,50.0,10.0,1.25
paid_search,5dc848e7dd9418dffe183215b8ff0bc1,31,3,6110.58,9.7,197.12
paid_search,9fa37f5177115156b1814ffc237402a6,31,3,209.6,9.7,6.76
paid_search,b76ef37428e6799c421989521c0e5077,81,7,3400.4,8.6,41.98
paid_search,4aab772aeb9833c170d8ea5413e02eac,25,2,6110.3,8.0,244.41
paid_search,65d9f9d71e562365e8b44037c2888d98,64,5,3117.15,7.8,48.71
paid_search,a0fbc0263cb98bdb0d72b9f9f283a172,28,2,125.0,7.1,4.46
paid_search,007f9098284a86ee80ddeb25d53e0af8,44,3,568.73,6.8,12.93
paid_search,3cd2a8301d5395f21cdd3094c9eaa2f4,33,1,2368.8,3.0,71.78
referral,22c29808c4f815213303f8933030604c,56,10,1851.7399999999998,17.9,33.07
referral,f017be4dbf86243af5c1ebed0cff36a2,23,1,6772.0,4.3,294.43
referral,e492ee5eaf1697716985cc6f33f9cd9b,24,0,0.0,0.0,0.0
social,88740e65d5d6b056e0cda098e1ea6313,413,30,20080.260000000002,7.3,48.62
social,649b7b8b46b254497e92038d88f6ced8,57,4,1772.45,7.0,31.1
social,58326e62183c14b0c03085c33b9fdc44,464,24,4602.94,5.2,9.92
social,22c29808c4f815213303f8933030604c,33,1,0.0,3.0,0.0
social,87732658ba41d8775e8577df347a64db,84,1,0.0,1.2,0.0
social,30534107aa0013db92899c96a1017d0b,34,0,0.0,0.0,0.0
social,f017be4dbf86243af5c1ebed0cff36a2,26,0,0.0,0.0,0.0
unknown,b76ef37428e6799c421989521c0e5077,657,134,201745.19999999998,20.4,307.07
unknown,22c29808c4f815213303f8933030604c,41,8,2307.84,19.5,56.29
unknown,c555aa36478386fdf85a2d0ca5cd0ff8,23,0,0.0,0.0,0.0
