contact_month,leads,converted,revenue,cvr,revenue_per_lead,contact_month_str
2017-01,76,3,2368.8,3.95,31.17,2017-01
2017-02,39,1,312.99,2.56,8.03,2017-02
2017-03,49,0,0.0,0.0,0.0,2017-03
2017-04,59,1,0.0,1.69,0.0,2017-04
2017-05,52,1,0.0,1.92,0.0,2017-05
2017-06,76,0,0.0,0.0,0.0,2017-06
2017-07,66,3,604.8,4.55,9.16,2017-07
2017-08,42,2,0.0,4.76,0.0,2017-08
2017-09,49,1,573.5,2.04,11.7,2017-09
2017-10,79,4,89.9,5.06,1.14,2017-10
2017-11,51,2,0.0,3.92,0.0,2017-11
2017-12,45,1,0.0,2.22,0.0,2017-12
2018-01,139,11,3149.0,7.91,22.65,2018-01
2018-02,259,33,20245.91,12.74,78.17,2018-02
2018-03,180,28,42088.55,15.56,233.83,2018-03
2018-04,188,31,26415.760000000002,16.49,140.51,2018-04
2018-05,216,29,23436.2,13.43,108.5,2018-05
2018-06,196,34,9061.77,17.35,46.23,2018-06
2018-07,222,26,12578.93,11.71,56.66,2018-07
2018-08,222,31,12421.460000000001,13.96,55.95,2018-08
2018-09,205,30,23969.32,14.63,116.92,2018-09
2018-10,186,28,8693.87,15.05,46.74,2018-10
2018-11,153,25,7965.4800000000005,16.34,52.06,2018-11
2018-12,209,38,16488.07,18.18,78.89,2018-12
