seller_id,origin,business_segment,lead_type,business_type,recency,frequency,monetary,avg_review_score,days_to_convert,R_score,F_score,M_score,RFM_score,rfm_segment,cluster,cluster_label
2c43fb513632d29b3b58df74816f1b06,organic_search,pet,online_medium,reseller,162,3.0,858.0,3.6666666666666665,-81.0,1,2,3,6,promising,2,mid_value
ed8cb7b190ceb6067227478e48cf8dde,unknown,home_appliances,industry,manufacturer,35,15.0,573.5,3.176470588235294,296.0,4,4,3,11,champions,1,standard
1c742ac33582852aaf3bcfbf5893abcf,organic_search,health_beauty,online_medium,manufacturer,181,1.0,97.9,5.0,-115.0,1,1,1,3,dormant,2,mid_value
44ed138eca6214d572ce1d813fb0049b,unknown,health_beauty,offline,manufacturer,113,2.0,129.79,4.666666666666667,-81.0,3,1,1,5,at_risk,1,standard
87d73636a3acf123e842bb890a4db036,paid_search,household_utilities,online_medium,manufacturer,106,1.0,269.9,5.0,-81.0,3,1,2,6,promising,1,standard
b566ab0ef88016e00422755e305103c6,paid_search,construction_tools_house_garden,online_big,reseller,166,5.0,1208.0,3.2,-81.0,1,3,3,7,promising,0,low_value
2d2322d842118867781fc737e96d59a1,direct_traffic,household_utilities,online_medium,reseller,78,8.0,176.4,4.9,-81.0,4,3,1,8,loyal,1,standard
9e7c5f4d7770eab65738cca38f9efccf,paid_search,sports_leisure,online_medium,reseller,120,2.0,184.8,3.5,-24.0,3,1,2,6,promising,0,low_value
df91910b6a03bb2e3358fa6a35e32f6f,referral,food_drink,online_medium,manufacturer,119,14.0,2312.1,4.357142857142857,37.0,3,4,4,11,champions,1,standard
249f0e9905a6e06ad6c6bea7547ab9f6,organic_search,home_decor,online_medium,manufacturer,88,3.0,347.95,3.6666666666666665,-117.0,4,2,2,8,loyal,1,standard
b494891378bd8f4560abe576c52deacd,organic_search,health_beauty,online_top,reseller,50,20.0,2958.9,4.636363636363637,-81.0,4,4,4,12,champions,1,standard
e819bcfade7b5d88a27325eb6cfd62c5,organic_search,home_decor,industry,manufacturer,177,5.0,202.9,3.5454545454545454,-79.0,1,3,2,6,promising,2,mid_value
556a6409838156ea299c9d1f9e2dde43,paid_search,household_utilities,industry,reseller,123,4.0,1362.8,3.25,-81.0,3,2,4,9,loyal,0,low_value
a4fc6eadaff1576af888509a53420f6a,paid_search,computers,online_beginner,reseller,117,1.0,100.86,3.0,-235.0,3,1,1,5,at_risk,0,low_value
4fae87d32467e18eb46e4a76a0a0b9ce,organic_search,small_appliances,online_medium,reseller,19,1.0,100.9,5.0,-81.0,4,1,1,6,promising,1,standard
8b181ee5518df84f18f4e1a43fe07923,unknown,health_beauty,online_medium,reseller,105,1.0,27.9,5.0,-81.0,3,1,1,5,at_risk,1,standard
d594982fd877af63ace38ea1fca27c76,organic_search,audio_video_electronics,industry,reseller,63,7.0,217.04,4.428571428571429,-81.0,4,3,2,9,loyal,1,standard
398cb257329ef7af7f1943a8974a3cbc,organic_search,food_drink,online_medium,manufacturer,155,1.0,145.9,5.0,-81.0,2,1,1,4,at_risk,2,mid_value
26e2c91ef821e1ff8985f408788fe35b,direct_traffic,bed_bath_table,online_beginner,manufacturer,183,12.0,1649.4,3.0,-54.0,1,4,4,9,loyal,0,low_value
dedcab67899479e4ea5dcc4eba47f587,unknown,car_accessories,online_medium,reseller,84,2.0,84.0,4.5,-81.0,4,1,1,6,promising,1,standard
ca4b77513ac2040591b0d8fae6958380,social,health_beauty,online_medium,reseller,58,14.0,1772.45,4.466666666666667,7.0,4,4,4,12,champions,1,standard
6e4a902d1054e4e17aa6eab87fac1c75,direct_traffic,audio_video_electronics,offline,reseller,51,7.0,586.57,4.25,-81.0,4,3,3,10,champions,1,standard
2d42ebcda99fd55f6f4bc2f1ca035d50,social,home_decor,online_big,reseller,119,10.0,921.5,4.0,-81.0,3,3,3,9,loyal,1,standard
04843805947f0fc584fc1969b6e50fe7,social,home_decor,online_big,manufacturer,112,1.0,1400.0,5.0,-81.0,3,1,4,8,loyal,1,standard
