cohort_month,total_leads,conversions,cvr_pct,total_revenue,revenue_per_lead
2017-01,76,3.0,3.95,2368.8,31.17
2017-02,39,1.0,2.56,312.99,8.03
2017-03,49,0.0,0.0,0.0,0.0
2017-04,59,1.0,1.69,0.0,0.0
2017-05,52,1.0,1.92,0.0,0.0
2017-06,76,0.0,0.0,0.0,0.0
2017-07,66,3.0,4.55,604.8,9.16
2017-08,42,2.0,4.76,0.0,0.0
2017-09,49,1.0,2.04,573.5,11.7
2017-10,79,4.0,5.06,89.9,1.14
2017-11,51,2.0,3.92,0.0,0.0
2017-12,45,1.0,2.22,0.0,0.0
2018-01,139,11.0,7.91,3149.0,22.65
2018-02,259,33.0,12.74,20245.91,78.17
2018-03,180,28.0,15.56,42088.55,233.83
2018-04,188,31.0,16.49,26415.76,140.51
2018-05,216,29.0,13.43,23436.2,108.5
2018-06,196,34.0,17.35,9061.77,46.23
2018-07,222,26.0,11.71,12578.93,56.66
2018-08,222,31.0,13.96,12421.46,55.95
2018-09,205,30.0,14.63,23969.32,116.92
2018-10,186,28.0,15.05,8693.87,46.74
2018-11,153,25.0,16.34,7965.48,52.06
2018-12,209,38.0,18.18,16488.07,78.89
